row,id,name,distance,notes
2288,N54 Dra,,23.37,
2289,N18 Pav,,23.38,
2290,N18 Phe,,23.4,
2291,N49 Hya,,23.4,
2292,N19 For,,23.41,
2293,N63 Cet,,23.42,
2294,N8 Mic,,23.42,
2295,N8 Mic B,,23.42,
2296,N32 Cnc,,23.42,
2297,N76 UMa,,23.43,
2298,N68 Her,,23.43,
2299,N68 Her B,,23.43,
2300,N64 Cet,,23.44,
2301,N17 Lyr,,23.44,
2302,N37 And,,23.45,
2303,N11 CrB,,23.45,
2304,N48 Peg,,23.46,
2305,N55 Dra,,23.46,SB 5.28 days in YPC
2306,N55 Dra B,,23.46,
2307,N19 Phe,,23.47,
2308,N65 Cet,,23.47,
2309,N47 Tau,,23.47,
2310,N33 Cnc,,23.47,
2311,N77 UMa,,23.47,
2312,N77 UMa B,,23.47,
2313,N35 Cyg,Ross 201,23.47,
2314,N21 Per,,23.48,
2315,N32 Cam,,23.48,
2316,N32 Cam B,,23.48,
2317,N20 Phe,,23.49,
2318,N61 Vir,Wolf 490,23.49,
2319,N10 Pic,,23.5,
2320,N20 Sgr,Kaus Borealis,23.5,
2321,N15 Gru,,23.5,
2322,N15 Gru B,,23.5,
2323,N48 Aqr,,23.5,
2324,N53 Boo,,23.51,check parallaxes
2325,N53 Boo B,,23.51,
2326,N53 Boo C,,23.51,
2327,N69 Her,,23.52,
2328,N40 Cas,,23.53,
2329,N27 Ser,,23.53,
2330,N49 Aqr,,23.53,
2331,N14 Car,,23.55,
2332,N50 Hya,,23.55,
2333,N26 Cep,,23.55,
2334,N26 Cep B,,23.55,
2335,N20 Lib,,23.57,
2336,N44 Psc,,23.57,
2337,N50 Aqr,Wolf 1336,23.58,
2338,N54 Boo,,23.6,
2339,N66 Cet,,23.6,
2340,N66 Cet B,,23,
2341,N67 Cet,,23.61,
2342,N8 PsA,,23.61,
2343,N8 PsA B,,23.61,
2344,N21 Lib,Zubenelgenubi,23.62,"YPC ""occultation double"" not confirmed/refuted"
2345,N21 Lib B,,23.62,occultation double; SB1 in Duq91
2346,N21 Lib C,,23.62,
2347,N51 Hya,,23.64,
2348,N38 And,,23.64,
2349,N9 Mic,,23.64,
2350,N2 Cir,,23.65,
2351,N70 Her,,23.65,
2352,N32 Gem,,23.7,
2353,N36 Cyg,,23.71,
2354,N16 Gru,,23.73,
2355,N38 Leo,,23.74,
2356,N38 Leo B,,23.74,
2357,N78 UMa,,23.74,
2358,N21 Phe,,23.74,
2359,N39 And,,23.74,SB 2.2 days in YPC
2360,N39 And B,,23.74,
2361,N79 UMa,,23.74,
2362,N39 Leo,Regulus,23.75,
2363,N39 Leo B,,23.75,
2364,N22 Phe,Ankaa,23.75,SB 3849 days in YPC
2365,N22 Phe B,,23.75,
2366,N52 Hya,,23.75,
2367,N47 Eri,,23.76,
2368,N47 Eri B,,23.76,from HIP
2369,N71 Her,,23.77,speckle companion? in YPC; additional component
2370,N71 Her B,,23.77,
2371,N55 Boo,,23.78,
2372,N10 Mic,,23.78,
2373,N21 Sgr,,23.79,
2374,N48 Eri,,23.8,
2375,N38 Cen,,23.81,
2376,N38 Cen B,,23.81,from HIP; imaged companion in HIP
2377,N56 Dra,,23.82,"A but no B in CNS91; similar mu but different p; CNS69 companion not in CNS91: ""optical"""
2378,N35 Ori,,23.84,
2379,N28 CVn,,23.87,
2380,N11 Pic,,23.87,
2381,N11 Pic B,,23.87,
2382,N12 Pic,,23.9,"imaged companion in HIP but HIP says ""ambiguous"
2383,N56 Boo,,23.9,
2384,N45 Psc,,23.92,SB 14 days in YPC
2385,N45 Psc B,,23.92,
2386,N27 Cep,Wolf 1106,23.92,
2387,N8 Lup,,23.93,
2388,N28 Cep,Wolf 1080,23.94,
2389,N29 Cep,,23.94,
2390,N6 CrA,,23.96,
2391,N68 Cet,,23.96,
2392,N49 Peg,,23.98,
2393,N48 Tau,,23.98,
2394,N53 Hya,,23.98,
2395,N23 Pup,,23.99,
2396,N23 Pup B,,23.99,from HIP; also in YPC
2397,N3 Cir,,23.99,
2398,N3 Cir B,,23.99,from HIP
2399,N22 Lib,,23.99,
2400,N22 Lib B,,23.99,
2401,N40 Leo,,24,
2402,N36 Ori,,24.02,
2403,N12 Hor,,24.03,
2404,N54 Hya,Ross 687,24.03,
2405,N54 Hya B,,24.03,
2406,N18 Lyr,,24.03,
2407,N18 Lyr B,,24.03,
2408,N46 Psc,,24.04,
2409,N9 Ant,,24.04,
2410,N72 Her,,24.05,
2411,N9 CMa,,24.06,
2412,N22 Sgr,,24.06,"imaged companion in HIP but HIP says ""ambiguous"
2413,N50 Oph,,24.08,
2414,N50 Peg,,24.08,
2415,N73 Her,Sarin,24.08,
2416,N41 Cas,,24.1,
2417,N24 Pup,,24.1,"CNS91 ""VAR"" not confirmed/refuted"
2418,N12 CrB,,24.1,
2419,N4 Nor,,24.1,
2420,N39 Cen,,24.1,
2421,N69 Cet,,24.11,
2422,N69 Cet B,,24.11,
2423,N55 Hya,,24.13,
2424,N23 Lyn,,24.13,
2425,N30 Cep,,24.13,
2426,N41 Leo,Wolf 370,24.13,
2427,N13 Vel,,24.15,
2428,N4 Cir,,24.15,
2429,N17 Ind,,24.15,
2430,N42 Cas,,24.17,
2431,N22 Per,,24.17," CNS79 component C has ""a very different parallax"""
2432,N22 Per B,,24.17,SB in CNS91
2433,N3 Mus,,24.17,
2434,N29 CVn,,24.18,
2435,N19 Pav,,24.18,
2436,N80 UMa,,24.19,
2437,N6 UMi,,24.19,
2438,N23 Phe,,24.2,
2439,N70 Cet,,24.21,
2440,N70 Cet B,,24.21,
2441,N28 Ser,,24.21,
2442,N40 Cen,,24.22,
2443,N57 Boo,,24.22,
2444,N8 Oct,,24.22,
2445,N40 And,Ross 244,24.23,
2446,N33 Gem,,24.24,
2447,N37 Cyg,,24.25,
2448,N51 Peg,,24.25,
2449,N38 Cyg,,24.25,
2450,N10 CMa,,24.26,
2451,N62 Vir,,24.26,
2452,N17 Crt,,24.27,
